0x0	0x0
0x3f	0x0
0x60	0x0
0xd	0x0
0x76	0x0
0xbd	0x0
0x10f	0x0
0x14b	0x0
0x1a8	0x0
0x1ef	0x0
0x241	0x0
0x2d5	0x2cd
0x365	0x35d
0x37c	0x35d
0x3e2	0x3da
0x40d	0x405
0x424	0x405
0x472	0x46a
0x49d	0x495
0x4c8	0x4c0
0x4df	0x4c0
0x55b	0x553
0x5b2	0x5aa
0x5e3	0x5db
0x5fa	0x5db
0x648	0x640
0x673	0x66b
0x68a	0x66b
0x6d8	0x6d0
0x70d	0x705
0x764	0x75c
0x77b	0x75c
0x7b3	0x7ab
0x7de	0x7d6
0x7f5	0x7d6
0x843	0x83b
0x86e	0x866
0x885	0x866
0x8bd	0x8b5
0x914	0x90c
0x93f	0x937
0x9cf	0x9c7
0x9e6	0x9c7
0xa34	0xa2c
0xa4b	0xa2c
0xab2	0xa2c
0xac4	0xa2c
0xae6	0xa2c
0xb49	0xa2c
0xb5b	0xa2c
0xb7d	0xa2c
0xbea	0xbe2
0xc15	0xc0d
0xc2c	0xc0d
0xc88	0xc80
0xcbd	0xcab
0xd17	0xd0f
0xd42	0xd3a
0xd59	0xd3a
0xdd1	0xdc9
0xde8	0xdc9
0xe36	0xe2e
0xe61	0xe59
0xe78	0xe59
0xedb	0xed3
0xef2	0xed3
0xf2a	0xf22
0xf41	0xf22
0xf79	0xf71
0xf90	0xf71
0x1008	0xff6
0x1042	0x103a
0x106d	0x1065
0x1084	0x1065
0x10d2	0x10ca
0x1129	0x1121
0x1180	0x1178
0x11ab	0x11a3
0x11c2	0x11a3
0x11fa	0x11f2
0x1238	0x1221
0x12df	0x1221
0x1347	0x1332
0x1572	0x1332
0x1672	0x161a
0x181b	0x405
0x18bd	0x405
0x197f	0x4c0
0x1e01	0x75c
0x1ea8	0x75c
0x2121	0x20c9
0x21cf	0xa2c
0x2238	0xa2c
0x229a	0xa2c
0x230b	0xa2c
0x23b4	0xa2c
0x248d	0x2470
0x2544	0x2470
0x2553	0x2470
0x256e	0x2470
0x2594	0x2470
0x271c	0xc0d
0x28cf	0xd0f
0x28de	0xd0f
0x28f9	0xd0f
0x2929	0xd3a
0x2a37	0xdc9
0x2b74	0x2b5e
0x2c16	0x2b5e
0x316a	0x1065
0x3271	0x1178
0x3280	0x1178
0x329b	0x1178
0x32cb	0x11a3
0x3372	0x11a3
0x3512	0x3434
0x3521	0x3434
0x353c	0x3434
0x355c	0x3434
0x3588	0x3434
0x3886	0x3434
0x3895	0x3434
0x38d4	0x38c2
0x3a3c	0x392c
