0x0	0xd
0x135	0x140
0x140	0x14b
0x15b	0x166
0x166	0x171
0x171	0x17c
0x17c	0x187
0x187	0x192
0x192	0x19d
0x19d	0x1a8
0x1b8	0x1c3
0x1c3	0x1ce
0x1ce	0x1d9
0x1d9	0x1e4
0x1e4	0x1ef
0x1ff	0x20a
0x20a	0x215
0x215	0x220
0x220	0x22b
0x22b	0x236
0x236	0x241
0x251	0x25c
0x25c	0x267
0x267	0x272
0x272	0x7a74
0x336	0x34f
0x9a0	0x9b9
0x1370	0x1384
0x1397	0x13a1
0x15eb	0x1604
0x166a	0x1672
0x16a7	0x16b0
0x2119	0x2121
0x2156	0x215f
0x222c	0x2233
0x3d1b	0x3d9c
0x5a68	0x5a6d
0x60bf	0x60d8
0x71b8	0x71d1
0x33fb0x75c	0x342b0x75c
0x33fb0x1065	0x342b0x1065
0x33fb0x11a3	0x342b0x11a3
0x33fb0x1221	0x342b0x1221
0x33fb0x33c0	0x342b0x33c0
0x33fb0x61b2	0x342b0x61b2
0x33ef0x75c	0x33fa0x75c
0x33ef0x1065	0x33fa0x1065
0x33ef0x11a3	0x33fa0x11a3
0x33ef0x1221	0x33fa0x1221
0x33ef0x33c0	0x33fa0x33c0
0x33ef0x61b2	0x33fa0x61b2
0x33c00x75c	0x33ee0x75c
0x33c00x1065	0x33ee0x1065
0x33c00x11a3	0x33ee0x11a3
0x33c00x1221	0x33ee0x1221
0x33c00x61b2	0x33ee0x61b2
0x1bfe0x66b	0x1c140x66b
0x1be80x66b	0x1bfa0x66b
0x1bd40x66b	0x1bdf0x66b
0x1b680x66b	0x1bd00x66b
0x1afe0x66b	0x1b560x66b
0x1f40B0x847	0x1f56B0x847
0x1ff2B0x847	0x1ff8B0x847
0x4339B0x2087	0x4346B0x2087
0x427cB0x2087	0x4292B0x2087
0x4332B0x2087	0x4339B0x2087
0x33c00x427cB0x2087	0x33ee0x427cB0x2087
0x33ef0x427cB0x2087	0x33fa0x427cB0x2087
0x33fb0x427cB0x2087	0x342b0x427cB0x2087
0x4860B0x27e5	0x486dB0x27e5
0x491dB0x27e5	0x492aB0x27e5
0x47a2B0x27e5	0x47b9B0x27e5
0x4859B0x27e5	0x4860B0x27e5
0x4884B0x27e5	0x48c8B0x27e5
0x48ccB0x27e5	0x48d7B0x27e5
0x48e0B0x27e5	0x48f2B0x27e5
0x4916B0x27e5	0x491dB0x27e5
0x33c00x47a2B0x27e5	0x33ee0x47a2B0x27e5
0x33ef0x47a2B0x27e5	0x33fa0x47a2B0x27e5
0x33fb0x47a2B0x27e5	0x342b0x47a2B0x27e5
0x4f1bB0x2d2f	0x4f28B0x2d2f
0x4e5eB0x2d2f	0x4e74B0x2d2f
0x4f14B0x2d2f	0x4f1bB0x2d2f
0x33c00x4e5eB0x2d2f	0x33ee0x4e5eB0x2d2f
0x33ef0x4e5eB0x2d2f	0x33fa0x4e5eB0x2d2f
0x33fb0x4e5eB0x2d2f	0x342b0x4e5eB0x2d2f
0x5022B0x2d41	0x502fB0x2d41
0x4f65B0x2d41	0x4f7bB0x2d41
0x501bB0x2d41	0x5022B0x2d41
0x33c00x4f65B0x2d41	0x33ee0x4f65B0x2d41
0x33ef0x4f65B0x2d41	0x33fa0x4f65B0x2d41
0x33fb0x4f65B0x2d41	0x342b0x4f65B0x2d41
0x512cB0x2dda	0x5139B0x2dda
0x506eB0x2dda	0x5085B0x2dda
0x5125B0x2dda	0x512cB0x2dda
0x33c00x506eB0x2dda	0x33ee0x506eB0x2dda
0x33ef0x506eB0x2dda	0x33fa0x506eB0x2dda
0x33fb0x506eB0x2dda	0x342b0x506eB0x2dda
0x2e2cB0x1046	0x2e86B0x1046
0x2eb7B0x1046	0x2ebdB0x1046
0x2e86B0x1046	0x2eb7B0x1046
0x549aB0x3f6f	0x54a5B0x3f6f
0x54b2B0x3f6f	0x54beB0x3f6f
0x1afeB0x22ea	0x1b560x1afeB0x22ea
0x1b680x1afeB0x22ea	0x1bd00x1afeB0x22ea
0x1bd40x1afeB0x22ea	0x1bdf0x1afeB0x22ea
0x1be80x1afeB0x22ea	0x1bfa0x1afeB0x22ea
0x1bfe0x1afeB0x22ea	0x1c140x1afeB0x22ea
0x6106B0x4726	0x6150B0x4726
0x60f3B0x4726	0x6106B0x4726
0x616bB0x4726	0x617fB0x4726
0x6150B0x4726	0x6159B0x4726
0x617fB0x4726	0x6198B0x4726
0x5a12B0x419c	0x5a4fB0x419c
0x7086B0x5fa5	0x70d0B0x5fa5
0x704eB0x5fa5	0x7059B0x5fa5
0x705eB0x5fa5	0x7064B0x5fa5
0x706cB0x5fa5	0x707cB0x5fa5
0x707dB0x5fa5	0x7086B0x5fa5
0x70ebB0x5fa5	0x70ffB0x5fa5
0x70d0B0x5fa5	0x70d9B0x5fa5
0x7059B0x5fa5	0x705eB0x5fa5
0x70ffB0x5fa5	0x7118B0x5fa5
0x5a12B0x5d42	0x5a4fB0x5d42
0x5a12B0x6dcd	0x5a4fB0x6dcd
0x7206B0x2404	0x7237B0x2404
0x7247B0x2404	0x7256B0x2404
0x7259B0x2404	0x7262B0x2404
0x7256B0x2404	0x7259B0x2404
0x73baB0x7275B0x2404	0x73c0B0x7275B0x2404
0x73c0B0x7275B0x2404	0x73c9B0x7275B0x2404
0x7206B0x241a	0x7237B0x241a
0x7247B0x241a	0x7256B0x241a
0x7259B0x241a	0x7262B0x241a
0x7256B0x241a	0x7259B0x241a
0x73baB0x7275B0x241a	0x73c0B0x7275B0x241a
0x73c0B0x7275B0x241a	0x73c9B0x7275B0x241a
0x406bB0x1d75B0x6fb	0x4078B0x1d75B0x6fb
0x3fadB0x1d75B0x6fb	0x3fc4B0x1d75B0x6fb
0x4064B0x1d75B0x6fb	0x406bB0x1d75B0x6fb
0x33c00x3fadB0x1d75B0x6fb	0x33ee0x3fadB0x1d75B0x6fb
0x33ef0x3fadB0x1d75B0x6fb	0x33fa0x3fadB0x1d75B0x6fb
0x33fb0x3fadB0x1d75B0x6fb	0x342b0x3fadB0x1d75B0x6fb
0x1d660x66b	0x1d6a0x66b
0x1d660x1afeB0x22ea	0x1d6a0x1afeB0x22ea
0x3141B0x1046	0x3146B0x1046
0x4362B0x2087	0x43660x427cB0x2087
0x494dB0x27e5	0x49530x47a2B0x27e5
0x4f42B0x2d2f	0x4f460x4e5eB0x2d2f
0x504bB0x2d41	0x504f0x4f65B0x2d41
0x515bB0x2dda	0x51610x506eB0x2dda
0x7126B0x5fa5	0x712cB0x5fa5
0x409aB0x1d75B0x6fb	0x40a00x3fadB0x1d75B0x6fb
0x7274B0x2404	0x7275B0x2404
0x7274B0x241a	0x7275B0x241a
