0x2e2	3	0x16b0	1
0x2e2	3	0x7526	1
0x2e2	3	0x754d	1
0x94c	3	0x215f	1
0x94c	3	0x7574	1
0x94c	3	0x759b	1
0x2470	16	0x12a5	2
0x2470	16	0x2c08	2
0x3398	30	0x5290	12
0x3398	30	0x7782	12
0x33c0	892	0x4347	154
0x33c0	892	0x5030	154
0x4412	258	0x635d	77
0x46b0	50	0x2601	16
0x46fa	72	0x477a	32
0x4726	58	0x263d	16
0x4726	58	0x4792	16
0x4953	179	0x4875	65
0x4953	179	0x4932	65
0x5295	183	0x6342	77
0x547b	36	0x3f5b	16
0x547b	36	0x4784	16
0x71f3	168	0x46fa	72
