0xf
0x386
0x3a6
0x42e
0x4e9
0x509
0x529
0x604
0x694
0x785
0x7ff
0x88f
0x9f0
0xa55
0xa75
0xa95
0xab8
0xb4f
0xbcd
0xc36
0xc56
0xcc7
0xce7
0xd63
0xd83
0xda3
0xdf2
0xe82
0xefc
0xf4b
0xf9a
0xfba
0x1012
0x108e
0x11cc
