0x12d7
0x133e
0x1484
0x14d3
0x1568
0x18ae
0x1a12
0x1d65
0x1ea0
0x1fe9
0x2303
0x23ac
0x2498
0x26f2
0x27af
0x2b54
0x2c07
0x2d19
0x3140
0x3162
0x336a
0x38ae
0x3f36
0x3f8e
0x4063
0x4272
0x4331
0x46a6
0x4858
0x4915
0x4e4f
0x4f13
0x501a
0x5124
0x528b
0x5491
0x59fd
0x5f98
0x6505
0x6665
0x6938
0x6bf9
0x7003
0x729d
0x72af
0x72f1
0x7303
0x734b
0x735d
0x739e
