0x0	0x0	0x0
0x4	0x0	0x4
0x2	0x0	0x2
0x5	0x0	0x5
0x7	0x0	0x7
0x8	0x0	0x8
0xd	0x0	0xd
0xf	0x0	0xf
0x10	0x0	0x10
0x12	0x0	0x12
0x13	0x0	0x13
0x14	0x0	0x14
0x19	0x0	0x19
0x1a	0x0	0x1a
0x1d	0x0	0x1d
0x1e	0x0	0x1e
0x1f	0x0	0x1f
0x24	0x0	0x24
0x25	0x0	0x25
0x28	0x0	0x28
0x29	0x0	0x29
0x2a	0x0	0x2a
0x2f	0x0	0x2f
0x30	0x0	0x30
0x33	0x0	0x33
0x34	0x0	0x34
0x35	0x0	0x35
0x3a	0x0	0x3a
0x3f	0x0	0x3f
0x40	0x0	0x40
0x45	0x0	0x45
0x4a	0x0	0x4a
0x4b	0x0	0x4b
0x50	0x0	0x50
0x55	0x0	0x55
0x56	0x0	0x56
0x5b	0x0	0x5b
0x60	0x0	0x60
0x61	0x0	0x61
0x66	0x0	0x66
0x6b	0x0	0x6b
0x6c	0x0	0x6c
0x71	0x0	0x71
0x76	0x0	0x76
0x79	0x0	0x79
0x7a	0x0	0x7a
0x7b	0x0	0x7b
0x7c	0x0	0x7c
0x81	0x0	0x81
0x86	0x0	0x86
0x87	0x0	0x87
0x8c	0x0	0x8c
0x91	0x0	0x91
0x92	0x0	0x92
0x97	0x0	0x97
0x9c	0x0	0x9c
0x9d	0x0	0x9d
0xa2	0x0	0xa2
0xa7	0x0	0xa7
0xa8	0x0	0xa8
0xad	0x0	0xad
0xb2	0x0	0xb2
0xb3	0x0	0xb3
0xb8	0x0	0xb8
0xbd	0x0	0xbd
0xc0	0x0	0xc0
0xc1	0x0	0xc1
0xc2	0x0	0xc2
0xc3	0x0	0xc3
0xc8	0x0	0xc8
0xc9	0x0	0xc9
0xcc	0x0	0xcc
0xcd	0x0	0xcd
0xce	0x0	0xce
0xd3	0x0	0xd3
0xd8	0x0	0xd8
0xd9	0x0	0xd9
0xde	0x0	0xde
0xe3	0x0	0xe3
0xe4	0x0	0xe4
0xe9	0x0	0xe9
0xee	0x0	0xee
0xef	0x0	0xef
0xf4	0x0	0xf4
0xf9	0x0	0xf9
0xfa	0x0	0xfa
0xff	0x0	0xff
0x104	0x0	0x104
0x105	0x0	0x105
0x10a	0x0	0x10a
0x10f	0x0	0x10f
0x112	0x0	0x112
0x113	0x0	0x113
0x114	0x0	0x114
0x115	0x0	0x115
0x11a	0x0	0x11a
0x11f	0x0	0x11f
0x120	0x0	0x120
0x125	0x0	0x125
0x12a	0x0	0x12a
0x12b	0x0	0x12b
0x130	0x0	0x130
0x135	0x0	0x135
0x136	0x0	0x136
0x13b	0x0	0x13b
0x140	0x0	0x140
0x141	0x0	0x141
0x146	0x0	0x146
0x14b	0x0	0x14b
0x14e	0x0	0x14e
0x14f	0x0	0x14f
0x150	0x0	0x150
0x151	0x0	0x151
0x156	0x0	0x156
0x157	0x0	0x157
0x15a	0x0	0x15a
0x15b	0x0	0x15b
0x15c	0x0	0x15c
0x161	0x0	0x161
0x162	0x0	0x162
0x165	0x0	0x165
0x166	0x0	0x166
0x167	0x0	0x167
0x16c	0x0	0x16c
0x171	0x0	0x171
0x172	0x0	0x172
0x177	0x0	0x177
0x17c	0x0	0x17c
0x17d	0x0	0x17d
0x182	0x0	0x182
0x187	0x0	0x187
0x188	0x0	0x188
0x18d	0x0	0x18d
0x192	0x0	0x192
0x193	0x0	0x193
0x198	0x0	0x198
0x19d	0x0	0x19d
0x19e	0x0	0x19e
0x1a3	0x0	0x1a3
0x1a8	0x0	0x1a8
0x1ab	0x0	0x1ab
0x1ac	0x0	0x1ac
0x1ad	0x0	0x1ad
0x1ae	0x0	0x1ae
0x1b3	0x0	0x1b3
0x1b8	0x0	0x1b8
0x1b9	0x0	0x1b9
0x1be	0x0	0x1be
0x1c3	0x0	0x1c3
0x1c4	0x0	0x1c4
0x1c9	0x0	0x1c9
0x1ce	0x0	0x1ce
0x1cf	0x0	0x1cf
0x1d4	0x0	0x1d4
0x1d9	0x0	0x1d9
0x1da	0x0	0x1da
0x1df	0x0	0x1df
0x1e4	0x0	0x1e4
0x1e5	0x0	0x1e5
0x1ea	0x0	0x1ea
0x1ef	0x0	0x1ef
0x1f2	0x0	0x1f2
0x1f3	0x0	0x1f3
0x1f4	0x0	0x1f4
0x1f5	0x0	0x1f5
0x1fa	0x0	0x1fa
0x1fb	0x0	0x1fb
0x1fe	0x0	0x1fe
0x1ff	0x0	0x1ff
0x200	0x0	0x200
0x205	0x0	0x205
0x20a	0x0	0x20a
0x20b	0x0	0x20b
0x210	0x0	0x210
0x215	0x0	0x215
0x216	0x0	0x216
0x21b	0x0	0x21b
0x220	0x0	0x220
0x221	0x0	0x221
0x226	0x0	0x226
0x22b	0x0	0x22b
0x22c	0x0	0x22c
0x231	0x0	0x231
0x236	0x0	0x236
0x237	0x0	0x237
0x23c	0x0	0x23c
0x241	0x0	0x241
0x244	0x0	0x244
0x245	0x0	0x245
0x246	0x0	0x246
0x247	0x0	0x247
0x24c	0x0	0x24c
0x251	0x0	0x251
0x252	0x0	0x252
0x257	0x0	0x257
0x25c	0x0	0x25c
0x25d	0x0	0x25d
0x262	0x0	0x262
0x267	0x0	0x267
0x268	0x0	0x268
0x26d	0x0	0x26d
0x272	0x0	0x272
0x273	0x0	0x273
0x278	0x0	0x278
0x27d	0x27d	0x27d
0x27e	0x27d	0x27e
0x280	0x27d	0x280
0x283	0x27d	0x283
0x284	0x27d	0x284
0x287	0x27d	0x287
0x288	0x27d	0x288
0x289	0x27d	0x289
0x28a	0x27d	0x28a
0x28b	0x27d	0x28b
0x28c	0x27d	0x28c
0x28f	0x27d	0x28f
0x290	0x27d	0x290
0x292	0x27d	0x292
0x293	0x27d	0x293
0x294	0x27d	0x294
0x296	0x27d	0x296
0x297	0x27d	0x297
0x299	0x27d	0x299
0x29a	0x27d	0x29a
0x29b	0x27d	0x29b
0x29d	0x27d	0x29d
0x29e	0x27d	0x29e
0x29f	0x27d	0x29f
0x2a1	0x27d	0x2a1
0x2a2	0x27d	0x2a2
0x2c3	0x27d	0x2c3
0x2c4	0x27d	0x2c4
0x2c5	0x27d	0x2c5
0x2c6	0x27d	0x2c6
0x2c9	0x27d	0x2c9
0x2ca	0x27d	0x2ca
0x2cb	0x27d	0x2cb
0x2cc	0x27d	0x2cc
0x2cd	0x2cd	0x2cd
0x2ce	0x2cd	0x2ce
0x2cf	0x2cd	0x2cf
0x2d0	0x2cd	0x2d0
0x2d1	0x2cd	0x2d1
0x2d4	0x2cd	0x2d4
0x2d5	0x2cd	0x2d5
0x2d7	0x2cd	0x2d7
0x2d8	0x2cd	0x2d8
0x2d9	0x2cd	0x2d9
0x2da	0x2cd	0x2da
